Legend,Weapon1,Weapon2,Strength,Dexterity,Defense,Speed,Winrate Ranked,Winrate Unranked,Playrate,Kills,Deaths,Suicides,Damage Dealt,Damage Taken
Ada,blasters,spear,6,7,3,6,55.35%,57.47%,0.97%,2.46,2.11,0.13,465.85,405.93
Arcadia,spear,greatsword,7,7,4,4,53.59%,59.06%,0.78%,2.50,2.08,0.11,511.42,401.41
Artemis,rocket_lance,scythe,5,5,4,8,55.07%,57.13%,1.06%,2.37,2.10,0.19,438.09,393.16
Asuri,katars,sword,4,7,5,6,52.47%,57.17%,1.00%,2.37,2.09,0.17,433.23,397.43
Azoth,bow,axe,7,5,6,4,55.43%,59.50%,0.94%,2.46,2.05,0.14,478.21,394.94
Barraza,axe,blasters,6,4,8,4,55.42%,59.87%,0.90%,2.51,2.07,0.16,466.20,395.67
Bodvar,hammer,sword,6,6,5,5,53.41%,56.56%,1.02%,2.43,2.17,0.16,436.69,407.87
Brynn,axe,spear,5,5,5,7,55.81%,59.05%,1.00%,2.48,2.11,0.12,480.14,411.59
Caspian,gauntlets,katars,7,5,4,6,54.86%,57.85%,0.98%,2.42,2.09,0.18,453.10,394.72
Cassidy,blasters,hammer,6,8,4,4,54.16%,56.94%,0.90%,2.45,2.14,0.14,458.27,403.52
Cross,blasters,gauntlets,7,4,6,5,52.31%,57.27%,0.93%,2.43,2.12,0.17,446.53,403.37
Diana,bow,blasters,5,6,5,6,53.89%,56.81%,0.84%,2.39,2.12,0.15,451.85,404.04
Dusk,spear,orb,6,7,4,5,54.55%,56.70%,0.98%,2.34,2.09,0.13,473.41,406.03
Ember,bow,katars,6,6,3,7,52.84%,56.70%,0.98%,2.38,2.10,0.17,460.87,397.06
Ezio,sword,orb,5,7,4,6,52.06%,57.28%,0.66%,2.43,2.11,0.14,468.71,402.45
Fait,scythe,orb,7,4,4,7,54.25%,55.82%,1.06%,2.28,2.13,0.20,451.67,398.80
Gnash,hammer,spear,7,3,5,7,56.29%,59.33%,0.98%,2.54,2.10,0.15,465.30,403.90
Hattori,sword,spear,4,6,4,8,52.07%,55.51%,1.10%,2.28,2.16,0.15,458.43,418.70
Imugi,axe,greatsword,8,3,8,3,55.76%,62.77%,0.48%,2.71,2.03,0.11,538.74,392.41
Isaiah,blasters,cannon,5,6,7,4,55.94%,58.01%,0.85%,2.38,2.07,0.16,464.19,398.02
Jaeyun,sword,greatsword,6,5,5,6,51.50%,57.43%,1.02%,2.43,2.12,0.13,478.07,410.87
Jhala,axe,sword,7,7,3,5,53.48%,58.18%,0.96%,2.50,2.10,0.13,457.56,401.20
Jiro,sword,scythe,5,7,3,7,52.39%,54.01%,1.06%,2.27,2.16,0.21,426.81,398.97
Kaya,spear,bow,4,4,7,7,53.58%,56.81%,0.94%,2.31,2.11,0.15,478.31,409.72
King Zuva,hammer,battle_boots,8,4,6,4,52.54%,58.56%,0.39%,2.57,2.12,0.16,457.66,391.51
Koji,bow,sword,5,8,4,5,49.70%,54.81%,0.95%,2.27,2.15,0.14,452.83,411.35
Kor,gauntlets,hammer,6,5,7,4,55.17%,57.88%,1.02%,2.48,2.12,0.18,437.20,396.03
Lin Fei,katars,cannon,3,8,4,7,50.48%,55.47%,0.91%,2.32,2.13,0.20,457.38,398.36
Loki,katars,scythe,4,8,5,5,51.46%,57.00%,0.62%,2.40,2.13,0.20,463.68,388.07
Lord Vraxx,rocket_lance,blasters,4,8,4,6,54.91%,58.26%,0.85%,2.43,2.06,0.14,455.95,393.55
Lucien,katars,blasters,3,5,6,8,52.40%,57.28%,0.92%,2.23,2.03,0.18,445.16,396.26
Magyar,hammer,greatsword,5,4,9,4,55.37%,58.48%,0.92%,2.47,2.12,0.15,472.21,399.82
Mako,katars,greatsword,6,4,4,8,52.04%,56.69%,0.93%,2.42,2.10,0.17,475.85,393.84
Mirage,scythe,spear,7,6,4,5,53.50%,55.29%,1.14%,2.31,2.16,0.19,459.25,402.97
Mordex,scythe,gauntlets,6,4,5,7,52.99%,55.41%,1.17%,2.33,2.17,0.23,434.78,399.37
Munin,bow,scythe,5,6,4,7,52.90%,57.34%,0.77%,2.36,2.11,0.19,454.49,390.13
Nix,scythe,blasters,4,5,7,6,53.63%,55.90%,1.03%,2.33,2.15,0.21,435.80,398.58
Onyx,gauntlets,cannon,5,4,8,5,55.53%,59.02%,0.97%,2.43,2.08,0.19,460.09,393.80
Orion,rocket_lance,spear,4,6,6,6,56.35%,59.38%,1.00%,2.48,2.07,0.15,480.73,398.15
Petra,gauntlets,orb,8,4,4,6,54.04%,56.47%,1.03%,2.33,2.10,0.16,453.73,401.23
Priya,chakram,sword,4,6,5,7,50.27%,57.00%,0.40%,2.46,2.16,0.13,502.17,422.48
Queen Nai,spear,katars,7,4,8,3,55.86%,59.89%,1.01%,2.54,2.05,0.16,492.68,392.82
Ragnir,katars,axe,5,6,6,5,55.30%,59.08%,0.98%,2.44,2.07,0.16,454.10,396.18
Ransom,chakram,bow,7,4,3,8,48.91%,57.99%,0.12%,2.62,2.19,0.13,495.98,414.21
Rayman,gauntlets,axe,5,5,6,6,55.30%,58.33%,0.96%,2.45,2.09,0.16,447.98,398.29
Red Raptor,battle_boots,orb,6,6,4,6,53.26%,57.23%,0.64%,2.48,2.10,0.16,450.81,391.36
Reno,blasters,orb,4,7,6,5,52.60%,58.26%,0.76%,2.36,2.06,0.14,477.01,400.60
Scarlet,hammer,rocket_lance,8,5,5,4,57.02%,59.75%,0.95%,2.58,2.09,0.16,455.34,392.03
Sentinel,hammer,katars,5,4,7,6,56.21%,59.36%,0.96%,2.48,2.07,0.18,454.89,396.46
Seven,spear,cannon,7,3,8,4,56.70%,61.79%,0.54%,2.57,2.03,0.15,507.38,391.90
Sidra,cannon,sword,6,4,6,6,56.89%,58.77%,0.96%,2.41,2.07,0.18,454.58,393.82
Sir Roland,rocket_lance,sword,5,5,8,4,55.80%,59.95%,0.97%,2.44,2.03,0.15,459.60,390.36
Teros,axe,hammer,8,3,6,5,57.58%,60.06%,0.96%,2.67,2.10,0.15,447.31,395.63
Tezca,battle_boots,gauntlets,7,5,5,5,53.41%,57.07%,0.72%,2.44,2.12,0.19,429.21,386.32
Thatch,sword,blasters,7,5,3,7,52.33%,57.12%,0.89%,2.47,2.10,0.14,456.46,402.74
Thea,battle_boots,rocket_lance,4,6,3,9,51.84%,57.05%,0.64%,2.32,2.07,0.17,439.38,385.30
Thor,hammer,orb,6,4,7,5,55.02%,58.63%,0.95%,2.42,2.07,0.15,456.27,398.77
Ulgrim,axe,rocket_lance,6,3,7,6,57.40%,60.80%,0.91%,2.54,2.06,0.15,466.57,395.51
Val,gauntlets,sword,4,5,6,7,52.53%,56.46%,1.04%,2.39,2.15,0.17,434.82,408.09
Vector,rocket_lance,bow,5,4,6,7,54.95%,59.84%,0.78%,2.50,2.01,0.17,463.37,381.49
Vivi,battle_boots,blasters,6,5,4,7,53.89%,58.14%,0.45%,2.47,2.10,0.16,460.40,394.10
Volkov,axe,scythe,4,8,6,4,53.84%,57.00%,1.00%,2.31,2.08,0.19,435.19,386.79
Wu Shang,gauntlets,spear,5,7,5,5,52.89%,56.72%,1.05%,2.41,2.13,0.15,449.11,407.15
Xull,cannon,axe,9,4,5,4,56.48%,58.51%,0.99%,2.50,2.11,0.16,484.17,399.28
Yumiko,bow,hammer,4,7,4,7,54.21%,56.06%,0.93%,2.38,2.15,0.16,449.35,403.16
Zariel,gauntlets,bow,7,4,7,4,54.81%,58.42%,0.91%,2.45,2.08,0.18,454.29,390.53
